,beginTime,dataId,gemo,imageCloudage,imageProductType,imageResolution,imageRowCol,imageSatelliteType,imageSensorType,imageSpectrumType,isDel,name,range,thumbnailPath
3709,2017-09-02 10:04:50,000140de02d259004deb84bab71e0ef1561f,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020450_0e14_planet_ortho_51.69N_123.73E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.559784,51.756783],[123.53015,51.682724],[123.89615,51.62574],[123.92584,51.6995],[123.559784,51.756783]]]]}",/data/PL/20170902/20170902_020450_0e14_planet_ortho_51.69N_123.73E/20170902_020450_0e14_planet_ortho_51.69N_123.73E
3710,2017-09-02 10:04:50,0001f35f6eec7be14e5d9683005b9a22aa5a,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020450_100c_planet_ortho_49.87N_122.65E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.4861,49.937443],[122.45717,49.86331],[122.814545,49.80516],[122.84355,49.87948],[122.4861,49.937443]]]]}",/data/PL/20170902/20170902_020450_100c_planet_ortho_49.87N_122.65E/20170902_020450_100c_planet_ortho_49.87N_122.65E
3711,2017-09-02 10:04:50,000181830b0690d74305b4ed13f8a69adafd,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020450_1008_planet_ortho_28.75N_117.7E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.580925,28.81509],[117.563126,28.739979],[117.82633,28.692062],[117.84372,28.767038],[117.580925,28.81509]]]]}",/data/PL/20170902/20170902_020450_1008_planet_ortho_28.75N_117.7E/20170902_020450_1008_planet_ortho_28.75N_117.7E
3712,2017-09-02 10:04:51,0001278d6b76f8f646939f8861f2676149fe,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020451_0e14_planet_ortho_51.62N_123.7E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.53195,51.688972],[123.50264,51.61489],[123.867836,51.557987],[123.89728,51.631813],[123.53195,51.688972]]]]}",/data/PL/20170902/20170902_020451_0e14_planet_ortho_51.62N_123.7E/20170902_020451_0e14_planet_ortho_51.62N_123.7E
3713,2017-09-02 10:04:51,000119fe01c128994c1e9f04d6dffd88b55e,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020451_100c_planet_ortho_49.81N_122.63E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.461044,49.872147],[122.4322,49.797993],[122.78915,49.73991],[122.8179,49.814217],[122.461044,49.872147]]]]}",/data/PL/20170902/20170902_020451_100c_planet_ortho_49.81N_122.63E/20170902_020451_100c_planet_ortho_49.81N_122.63E
3714,2017-09-02 10:04:51,0001b85af2a972f84d52a4d50b995228ed52,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020451_1008_planet_ortho_28.69N_117.69E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.56544,28.748857],[117.54779,28.673698],[117.81072,28.625807],[117.82814,28.70086],[117.56544,28.748857]]]]}",/data/PL/20170902/20170902_020451_1008_planet_ortho_28.69N_117.69E/20170902_020451_1008_planet_ortho_28.69N_117.69E
3715,2017-09-02 10:04:52,0001742ae3b876a045fd9152ce0f02911639,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020452_0e14_planet_ortho_51.56N_123.67E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.504295,51.62183],[123.47458,51.547844],[123.83958,51.491055],[123.86902,51.56485],[123.504295,51.62183]]]]}",/data/PL/20170902/20170902_020452_0e14_planet_ortho_51.56N_123.67E/20170902_020452_0e14_planet_ortho_51.56N_123.67E
3716,2017-09-02 10:04:52,0001b79f3eb276e0423bacda6b59b65da8a4,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020452_100c_planet_ortho_49.74N_122.6E,"{""type"":""MultiPolygon"",""coordinates"":[[[[122.43628,49.806767],[122.40749,49.73264],[122.76412,49.674664],[122.792625,49.74898],[122.43628,49.806767]]]]}",/data/PL/20170902/20170902_020452_100c_planet_ortho_49.74N_122.6E/20170902_020452_100c_planet_ortho_49.74N_122.6E
3717,2017-09-02 10:04:52,0001ecf925113f014e0ebf5f0ab43ee61ce6,,0.0,0102,{3.00},,PL,,{DGP},0,20170902_020452_1008_planet_ortho_28.62N_117.67E,"{""type"":""MultiPolygon"",""coordinates"":[[[[117.549644,28.681662],[117.53191,28.606588],[117.794655,28.55869],[117.81203,28.63369],[117.549644,28.681662]]]]}",/data/PL/20170902/20170902_020452_1008_planet_ortho_28.62N_117.67E/20170902_020452_1008_planet_ortho_28.62N_117.67E
3718,2017-09-02 10:04:53,0001fe427acccbae4579be7675bbc6f47c6c,,0.1,0102,{3.00},,PL,,{DGP},0,20170902_020453_0e14_planet_ortho_51.49N_123.64E,"{""type"":""MultiPolygon"",""coordinates"":[[[[123.475204,51.556263],[123.44521,51.482346],[123.81002,51.4256],[123.839355,51.49937],[123.475204,51.556263]]]]}",/data/PL/20170902/20170902_020453_0e14_planet_ortho_51.49N_123.64E/20170902_020453_0e14_planet_ortho_51.49N_123.64E
